X_train,y_train
"['valentine', 'game', 'send', 'dis', 'msg', 'ur', 'friend', '5', 'answer', 'r', 'someone', 'really', 'love', 'u', 'ques', 'colour', 'suit', 'best', 'rply']",ham
"['ü', 'login', 'dat', 'time', 'dad', 'fetching', 'ü', 'home']",ham
"['generally', 'one', 'uncountable', 'noun', 'u', 'dictionary', 'piece', 'research']",ham
"['done', 'sorry', 'hope', 'next', 'space', 'give', 'everything', 'want', 'remember', 'furniture', 'around', 'move', 'lock', 'lock', 'leave', 'key', 'jenne']",ham
"['boy', 'late', '2', 'home', 'father', 'power', 'frndship']",ham
"['want', 'grasp', 'pretty', 'booty']",ham
"['feb', 'lt', 'gt', 'love', 'u', 'day', 'send', 'dis', 'ur', 'valued', 'frnds', 'evn', '3', 'come', 'back', 'u', 'gt', 'married', 'person', 'u', 'luv', 'u', 'ignore', 'dis', 'u', 'lose', 'ur', 'luv', '4', 'evr']",ham
"['oh', 'grand', 'bit', 'party', 'mention', 'cover', 'charge', 'probably', 'first', 'come', 'first', 'served']",ham
"['lol', 'really', 'need', 'remember', 'eat', 'drinking', 'appreciate', 'keeping', 'company', 'night', 'babe', 'smile']",ham
"['sorry', 'joined', 'league', 'people', 'dont', 'keep', 'touch', 'mean', 'great', 'deal', 'friend', 'time', 'even', 'great', 'personal', 'cost', 'great', 'week']",ham
"['nothing', 'meant', 'money', 'enters', 'account', 'bank', 'remove', 'flat', 'rate', 'someone', 'transfered', 'lt', 'gt', 'account', 'lt', 'gt', 'dollar', 'got', 'removed', 'bank', 'differ', 'charge', 'also', 'differ', 'sure', 'trust', '9ja', 'person', 'sending', 'account', 'detail', 'co']",ham
"['ok', 'wont', 'call', 'disturb', 'one', 'know', 'avoiding', 'burden']",ham
"['4mths', 'half', 'price', 'orange', 'line', 'rental', 'latest', 'camera', 'phone', '4', 'free', 'phone', '11mths', 'call', 'mobilesdirect', 'free', '08000938767', 'update', 'or2stoptxt']",spam
"['yeah', 'leave', 'couple', 'minute', 'amp', 'let', 'know', 'get', 'mu']",ham
"['probably', 'money', 'worry', 'things', 'coming', 'due', 'several', 'outstanding', 'invoice', 'work', 'two', 'three', 'month', 'ago']",ham
"['gas', 'station', 'like', 'block', 'away', 'house', 'drive', 'right', 'since', 'armenia', 'end', 'swann', 'take', 'howard']",ham
"['hey', 'iouri', 'gave', 'number', 'wylie', 'ryan', 'friend']",ham
"['safe', 'trip', 'nigeria', 'wish', 'happiness', 'soon', 'company', 'share', 'moment']",ham
"['dude', 'u', 'knw', 'also', 'telugu', 'thts', 'gud', 'k', 'gud', 'nyt']",ham
"['leaving', 'yet', 'ok', 'lor', 'go', 'elsewhere', 'n', 'eat', 'u', 'thk']",ham
"['way', 'put', 'skip', 'right', 'outside', 'front', 'house', 'see', 'house', 'pull']",ham
"['ugh', 'gotta', 'drive', 'back', 'sd', 'la', 'butt', 'sore']",ham
"['ooooooh', 'forgot', 'tell', 'u', 'get', 'yoville', 'phone']",ham
"['mm', 'ask', 'come', 'enough']",ham
"['double', 'mins', '1000', 'txts', 'orange', 'tariff', 'latest', 'motorola', 'sonyericsson', 'nokia', 'bluetooth', 'free', 'call', 'mobileupd8', '08000839402', 'call2optout', 'hf8']",spam
"['gorgeous', 'keep', 'pix', 'cumming', 'thank']",ham
"['great', 'run', 'ttyl']",ham
"['shower', 'baby']",ham
"['tell', 'pa', 'pain', 'de']",ham
